OutletId,Outlet,ProductId,Name,UnitOfMeasureId,UOM,Barcode,OpeningQuantity,DeliveryQuantity,SoldQuantity
3,GS NISA,5703,**Animal Keyring,1,Each,646246004077,0,0,1
3,GS NISA,14831,"£1000,000 ORANGE",1,Each,5031390118025,0,0,132
3,GS NISA,8558,£2 MILLION RED,1,Each,5031390118049,0,0,117
3,GS NISA,26770,"£20,000 A MONTH FOR 5 YEARS",1,Each,5031390118087,0,0,138
3,GS NISA,1836,"£250,000 WIN ALL",1,Each,5031390117974,0,0,123
3,GS NISA,8153,0/1 YRS POOL TOTS GIRLS A/AWAY,1,Each,5056262300513,0,0,1
3,GS NISA,16013,1.2m Tiddler Net (Asst Colours),1,Each,"5029299033808,5031470027735,5055125904035,5055125904011",0,0,1
3,GS NISA,15282,1000X1S * NISA LARGE GLUE SPOT CARR,1,Each,5010893296409,0,0,2613
3,GS NISA,11961,100cm Keeleco 100cm Pink Snake,1,Each,5027148311657,0,0,1
3,GS NISA,28521,100X1 * RB Apple Pie (Haven),1,Each,5055540727264,70,0,0
3,GS NISA,28867,100X1 * RB Ban Mshake (Haven),1,Each,5055540732510,131,0,0
3,GS NISA,28438,100X1 * RB Banoffee (Haven),1,Each,5055540727554,112,0,0
3,GS NISA,28782,100X1 * RB BGum (Haven),1,Each,5055540703640,185,0,0
3,GS NISA,28891,100X1 * RB Blckjack (Haven),1,Each,5055540727189,10,0,0
3,GS NISA,28869,100X1 * RB Blue Rasp (Haven),1,Each,5055540732527,57,0,0
3,GS NISA,28497,100X1 * RB Candy Floss (Haven),1,Each,5055540727295,121,0,0
3,GS NISA,28893,100X1 * RB CDough (Haven),1,Each,5055540727530,186,0,0
3,GS NISA,28428,100X1 * RB Choc Mint (Haven),1,Each,5055540703589,216,0,0
3,GS NISA,28426,100X1 * RB Choc Orange (Haven),1,Each,5055540703558,74,0,0
3,GS NISA,28434,100X1 * RB Fiz Lemon (Haven),1,Each,5055540732534,85,0,0
3,GS NISA,29146,100X1 * RB Fruit Burst (Haven),1,Each,5055540703572,18,0,0
