ProductId,Outlet,CorrectOpeningQuantity,CorrectSoldQuantity,CorrectDeliveryQuantity,IncorrectProductIds
28521,GS NISA,70.0,31.0,0.0,25291
28867,GS NISA,131.0,57.0,0.0,16006
28438,GS NISA,112.0,99.0,0.0,7362
28782,GS NISA,185.0,171.0,0.0,852
28891,GS NISA,10.0,1.0,0.0,4481
28869,GS NISA,57.0,172.0,0.0,3223
28497,GS NISA,121.0,124.0,0.0,26307
28893,GS NISA,186.0,117.0,0.0,9220
28428,GS NISA,216.0,107.0,0.0,22548
28426,GS NISA,74.0,26.0,0.0,15829
28434,GS NISA,85.0,53.0,0.0,474
29146,GS NISA,18.0,73.0,0.0,21336
28778,GS NISA,93.0,91.0,0.0,9206
28785,GS NISA,86.0,25.0,0.0,11626
29150,GS NISA,75.0,41.0,0.0,18714
29151,GS NISA,68.0,39.0,0.0,12229
28506,GS NISA,73.0,68.0,0.0,1840
28511,GS NISA,103.0,61.0,0.0,5493
28519,GS NISA,52.0,31.0,0.0,14702
28863,GS NISA,59.0,67.0,0.0,1583
29155,GS NISA,84.0,90.0,0.0,20586
28779,GS NISA,92.0,77.0,0.0,3466
28477,GS NISA,34.0,2.0,0.0,9333
28932,GS NISA,5.0,69.0,0.0,8020
28526,GS NISA,14.0,78.0,0.0,7315
28525,GS NISA,18.0,22.0,0.0,12603
28931,GS NISA,23.0,39.0,0.0,14724
28934,GS NISA,88.0,56.0,0.0,140
30242,GS NISA,156.0,334.0,192.0,11679
29203,GS NISA,2.0,7.0,0.0,5636
29203,GS NISA,2.0,7.0,0.0,5636
5636,GS NISA,3.0,7.0,0.0,13993
29609,GS NISA,86.0,535.0,0.0,8690
29607,GS NISA,11.0,11.0,0.0,8838
29608,GS NISA,116.0,480.0,0.0,21429
28612,GS NISA,62.0,12.0,0.0,7963
28709,GS NISA,59.0,44.0,0.0,2535
28613,GS NISA,29.0,12.0,0.0,11275
28615,GS NISA,4.0,4.0,0.0,9374
28380,GS NISA,300.0,557.0,0.0,1530
29617,GS NISA,322.0,934.0,0.0,12669
29618,GS NISA,259.0,1098.0,0.0,1773
29616,GS NISA,146.0,648.0,0.0,689
31653,GS NISA,25.0,244.0,162.0,16557
29610,GS NISA,624.0,570.0,0.0,8597
28347,GS NISA,7.0,3.0,0.0,1342
28349,GS NISA,3.0,12.0,0.0,14532
28287,GS NISA,27.0,42.0,0.0,20791
28369,GS NISA,24.0,21.0,0.0,27109
28809,GS NISA,24.0,14.0,0.0,2080
28749,GS NISA,23.0,13.0,0.0,25579
28935,GS NISA,23.0,11.0,0.0,15603
28769,GS NISA,26.0,20.0,0.0,13601
22354,GS NISA,0.0,6.0,0.0,20717
28948,GS NISA,37.0,71.0,0.0,6101
28334,GS NISA,44.0,27.0,0.0,26800
28909,GS NISA,159.0,87.0,0.0,25777
